$ENGINE_PAR_BASSPRO_GEQ	true	Built-in Variable: $ENGINE_PAR_BASSPRO_GEQ	N/A
$ENGINE_PAR_BASSPRO_GEQ_1K	true	Built-in Variable: $ENGINE_PAR_BASSPRO_GEQ_1K	N/A
$ENGINE_PAR_BASSPRO_GEQ_2K	true	Built-in Variable: $ENGINE_PAR_BASSPRO_GEQ_2K	N/A
$ENGINE_PAR_BASSPRO_GEQ_4K	true	Built-in Variable: $ENGINE_PAR_BASSPRO_GEQ_4K	N/A
$ENGINE_PAR_BASSPRO_GEQ_10K	true	Built-in Variable: $ENGINE_PAR_BASSPRO_GEQ_10K	N/A
$ENGINE_PAR_BASSPRO_GEQ_40	true	Built-in Variable: $ENGINE_PAR_BASSPRO_GEQ_40	N/A
$ENGINE_PAR_BASSPRO_GEQ_90	true	Built-in Variable: $ENGINE_PAR_BASSPRO_GEQ_90	N/A
$ENGINE_PAR_BASSPRO_GEQ_180	true	Built-in Variable: $ENGINE_PAR_BASSPRO_GEQ_180	N/A
$ENGINE_PAR_BASSPRO_GEQ_300	true	Built-in Variable: $ENGINE_PAR_BASSPRO_GEQ_300	N/A
$ENGINE_PAR_BASSPRO_GEQ_500	true	Built-in Variable: $ENGINE_PAR_BASSPRO_GEQ_500	N/A
$ENGINE_PAR_BASSPRO_GEQ_VOLUME	true	Built-in Variable: $ENGINE_PAR_BASSPRO_GEQ_VOLUME	N/A
$ENGINE_PAR_BASSPRO_MASTER	true	Built-in Variable: $ENGINE_PAR_BASSPRO_MASTER	N/A
$ENGINE_PAR_BASSPRO_MID	true	Built-in Variable: $ENGINE_PAR_BASSPRO_MID	N/A
$ENGINE_PAR_BASSPRO_MIDFREQ	true	Built-in Variable: $ENGINE_PAR_BASSPRO_MIDFREQ	N/A
$ENGINE_PAR_BASSPRO_MONO	true	Built-in Variable: $ENGINE_PAR_BASSPRO_MONO	N/A
$ENGINE_PAR_BASSPRO_TREBLE	true	Built-in Variable: $ENGINE_PAR_BASSPRO_TREBLE	N/A
$ENGINE_PAR_BASSPRO_ULTRAHI	true	Built-in Variable: $ENGINE_PAR_BASSPRO_ULTRAHI	N/A
$ENGINE_PAR_BASSPRO_ULTRALO	true	Built-in Variable: $ENGINE_PAR_BASSPRO_ULTRALO	N/A
$ENGINE_PAR_BEATMASHER_GATE	true	Built-in Variable: $ENGINE_PAR_BEATMASHER_GATE	N/A
$ENGINE_PAR_BEATMASHER_LENGTH	true	Built-in Variable: $ENGINE_PAR_BEATMASHER_LENGTH	N/A
